YEAR,MO,DY,HR,TEMP,PRCP,HMDT,WND_SPD,ATM_PRESS,REF
2021,4,8,19,9.47,0.4,86.17,5.78,98.12,202104
2021,4,8,20,8.76,0.46,88.91,5.85,98.16,202104
2021,4,8,21,8.24,0.41,90.96,6.09,98.17,202104
2021,4,8,22,8.02,0.41,91.59,6.32,98.16,202104
2021,4,8,23,7.82,0.31,92.53,6.18,98.14,202104
2021,4,9,0,7.67,0.51,93.92,5.92,98.12,202104
2021,4,9,1,7.82,1.18,93.51,6.3,98.08,202104
2021,4,9,2,8.07,2.12,93.2,6.33,98.04,202104
2021,4,9,3,8.23,2.07,94.19,6.1,98.03,202104
2021,4,9,4,8.3,1.77,95.18,5.84,98.04,202104
2021,4,9,5,8.31,1.05,95.71,5.7,98.07,202104
2021,4,9,6,8.39,0.42,95.66,5.73,98.1,202104
2021,4,9,7,8.84,0.2,92.27,6.3,98.14,202104
2021,4,9,8,9.52,0.17,83.68,7.17,98.17,202104
2021,4,9,9,10.19,0.24,77.26,7.55,98.2,202104
2021,4,9,10,10.53,0.31,74.79,7.59,98.2,202104
2021,4,9,11,10.75,0.3,74.43,7.31,98.21,202104
2021,4,9,12,11.31,0.19,72.99,7.09,98.21,202104
2021,4,9,13,11.92,0.11,71.23,6.95,98.21,202104
2021,4,9,14,12.31,0.08,70.21,6.69,98.23,202104
2021,4,9,15,12.29,0.06,71.0,6.15,98.29,202104
2021,4,9,16,12.23,0.03,72.66,5.47,98.37,202104
2021,4,9,17,11.87,0.01,76.48,4.45,98.43,202104
2021,4,9,18,10.88,0.01,81.83,3.82,98.48,202104
2021,4,9,19,10.52,0.01,82.88,3.38,98.54,202104
2021,4,9,20,10.44,0.01,83.11,2.89,98.59,202104
2021,4,9,21,10.28,0.0,84.39,2.61,98.59,202104
2021,4,9,22,9.79,0.0,87.45,2.69,98.57,202104
2021,4,9,23,9.13,0.0,91.4,2.89,98.55,202104
2021,4,10,0,8.96,0.0,93.75,2.47,98.47,202104
2021,4,10,1,8.94,0.01,95.23,1.93,98.45,202104
2021,4,10,2,8.87,0.04,96.78,1.31,98.44,202104
2021,4,10,3,8.52,0.06,98.52,1.28,98.43,202104
2021,4,10,4,8.05,0.1,99.53,1.87,98.43,202104
2021,4,10,5,7.49,0.16,100.0,2.67,98.39,202104
2021,4,10,6,7.87,1.02,96.84,3.47,98.35,202104
2021,4,10,7,8.1,2.72,95.14,4.12,98.29,202104
2021,4,10,8,8.23,57.02,94.31,4.25,98.3,202104
2021,4,10,9,8.22,44.14,94.65,4.9,98.29,202104
2021,4,10,10,8.33,15.8,94.1,5.38,98.16,202104
2021,4,10,11,8.48,19.12,93.6,5.21,98.03,202104
2021,4,10,12,8.72,22.76,94.19,5.3,97.92,202104
2021,4,10,13,9.12,8.07,95.18,5.73,97.77,202104
2021,4,10,14,9.45,4.91,96.33,6.17,97.59,202104
2021,4,10,15,9.69,4.62,97.0,6.35,97.47,202104
2021,4,10,16,9.75,4.01,97.7,6.02,97.4,202104
2021,4,10,17,9.57,5.89,99.08,5.64,97.34,202104
2021,4,10,18,9.36,21.83,100.0,5.01,97.3,202104
2021,4,10,19,9.63,48.99,100.0,3.48,97.26,202104
2021,4,10,20,9.41,36.23,100.0,4.33,97.28,202104
2021,4,10,21,8.92,7.64,97.1,5.78,97.31,202104
2021,4,10,22,8.16,0.79,92.91,5.31,97.27,202104
2021,4,10,23,7.43,0.17,91.45,4.72,97.23,202104
2021,4,11,0,6.8,0.05,93.1,4.53,97.19,202104
2021,4,11,1,6.42,0.07,94.72,4.41,97.15,202104
2021,4,11,2,6.1,0.12,96.3,4.02,97.11,202104
2021,4,11,3,5.81,0.17,98.06,3.71,97.09,202104
2021,4,11,4,5.56,0.29,99.78,3.39,97.09,202104
2021,4,11,5,5.64,0.52,99.76,3.01,97.12,202104
2021,4,11,6,6.59,0.85,95.99,2.77,97.15,202104
2021,4,11,7,7.39,0.88,92.69,2.25,97.17,202104
2021,4,11,8,8.13,0.72,88.16,1.87,97.2,202104
2021,4,11,9,8.41,0.74,86.25,1.92,97.24,202104
2021,4,11,10,8.4,0.74,86.07,2.23,97.28,202104
2021,4,11,11,8.22,0.58,86.32,2.51,97.34,202104
2021,4,11,12,8.06,0.41,86.45,2.73,97.39,202104
2021,4,11,13,8.03,0.3,85.95,2.9,97.45,202104
2021,4,11,14,8.15,0.39,84.72,2.98,97.5,202104
2021,4,11,15,8.39,0.45,82.7,2.83,97.57,202104
2021,4,11,16,8.47,0.41,81.33,2.5,97.63,202104
2021,4,11,17,7.97,0.33,84.06,1.96,97.71,202104
2021,4,11,18,6.64,0.28,90.55,1.53,97.79,202104
2021,4,11,19,6.04,0.3,92.96,1.14,97.88,202104
2021,4,11,20,5.83,0.32,93.88,1.1,97.95,202104
2021,4,11,21,5.87,0.29,94.83,1.71,97.98,202104
2021,4,11,22,6.13,0.32,95.82,2.19,98.0,202104
2021,4,11,23,6.43,0.46,97.6,2.51,98.02,202104
2021,4,12,0,6.56,0.53,99.18,2.9,98.05,202104
2021,4,12,1,6.64,1.25,99.96,3.3,98.09,202104
2021,4,12,2,6.9,4.0,99.17,3.65,98.13,202104
2021,4,12,3,7.03,2.67,98.82,3.82,98.2,202104
2021,4,12,4,6.95,1.18,99.12,3.85,98.27,202104
2021,4,12,5,7.1,0.54,98.18,4.05,98.34,202104
2021,4,12,6,7.79,0.92,95.5,4.39,98.41,202104
2021,4,12,7,8.67,0.09,90.83,4.52,98.45,202104
2021,4,12,8,9.65,0.02,82.44,4.93,98.49,202104
2021,4,12,9,10.5,0.01,75.82,5.23,98.55,202104
2021,4,12,10,11.27,0.01,70.65,5.53,98.59,202104
2021,4,12,11,11.86,0.0,66.6,5.83,98.62,202104
2021,4,12,12,12.25,0.0,63.16,6.12,98.63,202104
2021,4,12,13,12.37,0.0,60.15,6.59,98.66,202104
2021,4,12,14,12.23,0.0,58.08,7.06,98.7,202104
2021,4,12,15,11.93,0.0,57.6,7.25,98.78,202104
2021,4,12,16,11.46,0.0,58.41,7.06,98.86,202104
2021,4,12,17,10.7,0.0,61.11,6.39,98.93,202104
2021,4,12,18,9.32,0.0,67.78,5.46,99.04,202104
2021,4,12,19,8.38,0.0,71.74,5.15,99.16,202104
2021,4,12,20,7.63,0.0,74.2,4.86,99.25,202104
2021,4,12,21,7.07,0.0,76.04,4.71,99.31,202104
2021,4,12,22,6.63,0.0,77.59,4.66,99.34,202104
2021,4,12,23,6.22,0.0,79.51,4.72,99.38,202104
2021,4,13,0,5.8,0.01,81.87,4.86,99.4,202104
2021,4,13,1,5.38,0.01,83.97,5.1,99.43,202104
2021,4,13,2,5.03,0.01,85.19,5.56,99.5,202104
2021,4,13,3,4.67,0.0,86.09,5.78,99.54,202104
2021,4,13,4,4.2,0.0,87.84,5.69,99.56,202104
2021,4,13,5,3.92,0.0,89.21,5.87,99.59,202104
2021,4,13,6,4.56,0.0,86.45,6.2,99.62,202104
2021,4,13,7,5.96,0.0,80.85,5.82,99.67,202104
2021,4,13,8,7.26,0.0,73.65,6.28,99.71,202104
2021,4,13,9,7.74,0.0,71.44,6.08,99.74,202104
2021,4,13,10,8.22,0.0,69.0,5.88,99.74,202104
2021,4,13,11,8.74,0.0,66.02,5.92,99.71,202104
2021,4,13,12,9.21,0.0,62.57,6.22,99.69,202104
2021,4,13,13,9.5,0.0,59.34,6.57,99.68,202104
2021,4,13,14,9.61,0.0,58.1,6.65,99.66,202104
2021,4,13,15,9.62,0.0,58.19,6.4,99.66,202104
2021,4,13,16,9.42,0.0,59.26,5.95,99.68,202104
2021,4,13,17,8.92,0.0,62.42,5.07,99.69,202104
2021,4,13,18,8.01,0.0,69.83,3.94,99.72,202104
2021,4,13,19,7.34,0.0,73.91,3.51,99.77,202104
2021,4,13,20,6.67,0.0,76.41,3.23,99.77,202104
2021,4,13,21,6.28,0.0,78.0,3.06,99.78,202104
2021,4,13,22,5.86,0.0,79.95,3.26,99.78,202104
2021,4,13,23,5.56,0.0,82.0,3.94,99.8,202104
2021,4,14,0,5.05,0.0,84.62,4.95,99.82,202104
2021,4,14,1,4.27,0.0,86.11,5.49,99.84,202104
2021,4,14,2,3.6,0.0,84.04,5.64,99.87,202104
2021,4,14,3,3.01,0.0,82.55,5.17,99.86,202104
2021,4,14,4,2.51,0.0,82.48,4.54,99.85,202104
2021,4,14,5,2.36,0.0,82.94,4.29,99.88,202104
2021,4,14,6,3.37,0.0,77.22,4.89,99.9,202104
2021,4,14,7,4.65,0.0,64.91,5.59,99.86,202104
2021,4,14,8,5.46,0.0,58.49,6.01,99.84,202104
2021,4,14,9,6.13,0.0,56.16,5.89,99.8,202104
2021,4,14,10,6.7,0.0,56.09,5.26,99.77,202104
2021,4,14,11,7.0,0.0,57.95,4.77,99.72,202104
2021,4,14,12,7.27,0.0,59.51,4.79,99.67,202104
2021,4,14,13,7.45,0.0,60.45,4.93,99.63,202104
2021,4,14,14,7.48,0.0,60.93,5.03,99.6,202104
2021,4,14,15,7.32,0.0,61.9,5.0,99.59,202104
2021,4,14,16,6.96,0.0,63.29,4.98,99.59,202104
2021,4,14,17,6.41,0.0,65.74,4.89,99.59,202104
2021,4,14,18,5.58,0.0,71.21,4.34,99.6,202104
2021,4,14,19,5.03,0.0,75.12,4.11,99.65,202104
2021,4,14,20,4.55,0.0,77.67,4.36,99.65,202104
2021,4,14,21,4.1,0.0,79.93,5.01,99.6,202104
2021,4,14,22,3.72,0.0,81.07,5.8,99.56,202104
2021,4,14,23,3.28,0.0,82.77,6.01,99.52,202104
2021,4,15,0,2.85,0.0,84.88,5.82,99.48,202104
2021,4,15,1,2.61,0.0,87.59,6.13,99.44,202104
2021,4,15,2,2.99,0.0,87.75,6.93,99.41,202104
2021,4,15,3,3.34,0.0,89.69,6.99,99.4,202104
2021,4,15,4,3.64,0.0,92.03,6.81,99.42,202104
2021,4,15,5,3.69,0.0,93.94,6.59,99.45,202104
2021,4,15,6,4.25,0.0,89.58,6.91,99.49,202104
2021,4,15,7,5.04,0.0,82.62,7.32,99.54,202104
2021,4,15,8,6.06,0.0,76.99,7.41,99.57,202104
2021,4,15,9,7.05,0.0,72.07,7.09,99.56,202104
2021,4,15,10,7.79,0.0,68.18,6.6,99.51,202104
2021,4,15,11,8.4,0.0,65.66,6.29,99.47,202104
2021,4,15,12,8.89,0.0,63.91,5.96,99.42,202104
2021,4,15,13,9.19,0.0,63.29,5.53,99.4,202104
2021,4,15,14,9.17,0.0,64.04,5.15,99.36,202104
2021,4,15,15,8.72,0.0,67.14,4.85,99.35,202104
2021,4,15,16,8.05,0.0,71.46,4.56,99.38,202104
2021,4,15,17,7.19,0.0,76.12,3.96,99.41,202104
2021,4,15,18,6.08,0.0,83.72,2.82,99.45,202104
2021,4,15,19,5.47,0.0,86.49,1.62,99.49,202104
2021,4,15,20,5.42,0.0,83.99,0.41,99.53,202104
2021,4,15,21,5.04,0.0,86.79,1.91,99.53,202104
2021,4,15,22,5.0,0.0,88.84,3.01,99.51,202104
2021,4,15,23,5.15,0.0,89.17,3.8,99.49,202104
2021,4,16,0,5.19,0.0,90.15,4.54,99.47,202104
2021,4,16,1,5.09,0.0,92.22,4.92,99.45,202104
2021,4,16,2,4.93,0.0,94.34,5.14,99.44,202104
2021,4,16,3,4.68,0.0,95.64,5.16,99.46,202104
2021,4,16,4,4.07,0.0,96.32,4.77,99.45,202104
2021,4,16,5,3.9,0.0,93.35,4.2,99.45,202104
2021,4,16,6,4.9,0.0,83.55,4.15,99.46,202104
2021,4,16,7,5.44,0.0,77.28,3.85,99.46,202104
2021,4,16,8,6.09,0.0,74.22,3.68,99.46,202104
2021,4,16,9,6.58,0.0,73.69,3.51,99.44,202104
2021,4,16,10,7.07,0.0,73.6,3.36,99.42,202104
2021,4,16,11,7.56,0.0,73.28,3.37,99.38,202104
2021,4,16,12,7.96,0.0,72.47,3.49,99.34,202104
2021,4,16,13,8.12,0.0,72.25,3.67,99.31,202104
2021,4,16,14,7.91,0.0,73.25,3.94,99.26,202104
2021,4,16,15,7.38,0.0,75.19,3.98,99.27,202104
